"col0","col1","col2","input_params","return_value"
"ControlFlowNode for None","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for None","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for None","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","input_str","None"
"ControlFlowNode for None","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","input_str","Attribute()"
"ControlFlowNode for None","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","input_str","None"
"ControlFlowNode for None","is_date","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","input_str","Attribute()"
"ControlFlowNode for None","find_bounds","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","end_col|end_row|max_col|max_row|self|sheet|start_col|start_row","Tuple"
"ControlFlowNode for None","find_bounds","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","end_col|end_row|max_col|max_row|self|sheet|start_col|start_row","Tuple"
"ControlFlowNode for None","find_tables","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet","Subscript"
"ControlFlowNode for None","find_tables","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|sheet","table_bounds_"
"ControlFlowNode for None","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","Tuple"
"ControlFlowNode for None","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","BinaryExpr"
"ControlFlowNode for None","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","Tuple"
"ControlFlowNode for None","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","BinaryExpr"
"ControlFlowNode for None","findHeaderInfo","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","col_frame_"
"ControlFlowNode for None","findHeaderInfo","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","Tuple"
